Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 16:13:30,,,174.80,"1,041",AT
14.02.20 16:13:30,,,174.80,365,AT
14.02.20 16:13:30,,,174.80,580,AT
14.02.20 16:13:30,,,174.80,265,AT
14.02.20 16:12:42,,,174.80,234,AT
14.02.20 16:12:42,,,174.80,785,AT
14.02.20 16:12:42,,,174.80,785,AT
14.02.20 16:12:42,,,174.80,785,AT
14.02.20 16:12:42,,,174.80,444,AT
14.02.20 16:12:42,,,174.80,785,AT
14.02.20 16:12:42,,,174.80,162,AT
14.02.20 16:12:09,,,174.85,162,AT
14.02.20 16:12:09,,,174.85,324,AT
14.02.20 16:12:09,,,174.85,198,AT
14.02.20 16:12:09,,,174.85,154,AT
14.02.20 16:12:09,,,174.90,132,AT
14.02.20 16:12:09,,,174.90,330,AT
14.02.20 16:12:09,,,174.90,1,AT
14.02.20 16:11:31,,,174.90,123,AT
14.02.20 16:11:31,,,174.90,354,AT
14.02.20 16:11:22,,,174.90,63,AT
14.02.20 16:10:33,,,174.90,452,AT
14.02.20 16:10:33,,,174.90,107,AT
14.02.20 16:10:33,,,174.90,104,AT
14.02.20 16:10:32,,,174.95,5,AT
14.02.20 16:10:19,,,174.90,91,AT
14.02.20 16:09:46,,,174.90,114,AT
14.02.20 16:09:32,,,174.95,6,AT
14.02.20 16:09:32,,,174.95,298,AT
14.02.20 16:08:23,,,174.95,148,AT
14.02.20 16:08:23,,,174.95,366,AT
14.02.20 16:08:23,,,174.95,191,AT
14.02.20 16:07:59,,,174.90,150,AT
14.02.20 16:07:16,,,174.85,152,AT
14.02.20 16:07:16,,,174.85,130,AT
14.02.20 16:06:52,,,174.85,178,AT
14.02.20 16:06:52,,,174.85,505,AT
14.02.20 16:06:52,,,174.85,123,AT
14.02.20 16:06:52,,,174.85,148,AT
14.02.20 16:06:52,,,174.85,93,AT
14.02.20 16:06:52,,,174.85,533,AT
14.02.20 16:06:52,,,174.85,534,AT
14.02.20 16:06:45,,,174.85,25,AT
14.02.20 16:06:16,,,174.80,533,AT
14.02.20 16:06:16,,,174.80,428,AT
14.02.20 16:06:16,,,174.80,116,AT
14.02.20 16:06:16,,,174.80,77,AT
14.02.20 16:04:59,,,174.80,13,AT
14.02.20 16:04:52,,,174.80,121,AT
14.02.20 16:04:52,,,174.80,45,AT
14.02.20 16:04:52,,,174.80,257,AT
14.02.20 16:04:52,,,174.80,609,AT
14.02.20 16:04:52,,,174.80,58,AT
14.02.20 16:04:52,,,174.80,250,AT
14.02.20 16:04:52,,,174.80,359,AT
14.02.20 16:04:52,,,174.80,237,AT
14.02.20 16:04:52,,,174.80,260,AT
14.02.20 16:04:52,,,174.80,685,AT
14.02.20 16:04:52,,,174.80,500,AT
14.02.20 16:04:52,,,174.80,524,AT
14.02.20 16:04:52,,,174.80,98,AT
14.02.20 16:04:52,,,174.80,397,AT
14.02.20 16:04:45,,,174.80,212,AT
14.02.20 16:04:45,,,174.80,221,AT
14.02.20 16:03:27,,,174.80,201,AT
14.02.20 16:03:26,,,174.80,78,AT
14.02.20 16:03:26,,,174.80,277,AT
14.02.20 16:03:26,,,174.80,197,AT
14.02.20 16:03:26,,,174.80,298,AT
14.02.20 16:03:26,,,174.80,288,AT
14.02.20 16:03:21,,,174.75,763,AT
14.02.20 16:01:45,,,174.80,1,AT
14.02.20 16:01:45,,,174.80,77,AT
14.02.20 16:01:45,,,174.80,429,AT
14.02.20 16:01:45,,,174.80,80,AT
14.02.20 16:01:45,,,174.80,433,AT
14.02.20 16:01:42,,,174.85,166,AT
14.02.20 16:01:38,,,174.85,90,AT
14.02.20 16:01:38,,,174.85,550,AT
14.02.20 16:00:48,,,174.90,93,AT
14.02.20 16:00:48,,,174.90,509,AT
14.02.20 16:00:48,,,174.90,57,AT
14.02.20 16:00:48,,,174.90,30,AT
14.02.20 16:00:48,,,174.85,6,AT
14.02.20 16:00:48,,,174.85,115,AT
14.02.20 16:00:48,,,174.85,328,AT
14.02.20 16:00:48,,,174.85,203,AT
14.02.20 16:00:48,,,174.85,66,AT
14.02.20 16:00:48,,,174.85,193,AT
14.02.20 16:00:48,,,174.85,158,AT
14.02.20 16:00:48,,,174.85,320,AT
14.02.20 16:00:48,,,174.85,39,AT
14.02.20 15:59:59,,,174.80,7,AT
14.02.20 15:59:59,,,174.80,227,AT
14.02.20 15:59:59,,,174.80,61,AT
14.02.20 15:59:59,,,174.80,163,AT
14.02.20 15:59:59,,,174.80,319,AT
14.02.20 15:59:54,,,174.75,144,AT
14.02.20 15:59:54,,,174.75,185,AT
14.02.20 15:59:54,,,174.75,284,AT
